Customer ID,Recency,Frequency,Monetary,Churn,R_Score,F_Score,M_Score,RFM_Score,Segment
12396,310,65,931.43,1,1,3,3,7,Can't Lose Them
12399,21,51,853.65,0,3,3,3,9,Loyal
12400,50,11,205.25,0,3,1,1,5,New Customers
12402,28,59,1031.3,0,3,3,3,9,Loyal
12403,157,4,591.6600000000001,1,1,1,2,4,Lost
12404,318,1,63.24,1,1,1,1,3,Lost
12406,35,61,2975.06,0,3,3,4,10,Loyal
12408,21,54,1452.22,0,3,3,3,9,Loyal
12409,56,155,12346.619999999999,0,2,4,4,10,At Risk
12410,138,14,320.38,1,1,1,2,4,Lost
12411,45,22,346.9,0,3,2,2,7,New Customers
12412,38,66,1370.05,0,3,3,3,9,Loyal
12413,38,13,241.35,0,3,1,1,5,New Customers
12414,99,10,390.0,1,2,1,2,5,Lost
12415,11,212,19543.84,0,4,4,4,12,Champions
12416,292,11,202.56,1,1,1,1,3,Lost
12417,46,179,3167.81,0,3,4,4,11,Loyal
12418,49,68,1352.62,0,3,3,3,9,Loyal
12419,21,25,503.01,0,3,2,2,7,New Customers
12421,51,20,291.56,0,3,2,1,6,New Customers
12422,30,133,4428.24,0,3,4,4,11,Loyal
12423,23,40,763.08,0,3,2,3,8,New Customers
12424,58,62,1579.07,0,2,3,3,8,At Risk
12425,84,55,964.21,0,2,3,3,8,At Risk
12426,298,47,762.48,1,1,3,3,7,Can't Lose Them
12427,7,10,303.5,0,4,1,1,6,New Customers
12429,1,76,3735.51,0,4,3,4,11,Loyal
12431,9,170,4370.52,0,4,4,4,12,Champions
12433,2,286,7205.39,0,4,4,4,12,Champions
12434,17,20,297.29,0,4,2,1,7,New Customers
12435,32,76,6096.04,0,3,3,4,10,Loyal
12437,31,364,7731.99,0,3,4,4,11,Loyal
12439,318,72,1158.18,1,1,3,3,7,Can't Lose Them
12440,98,32,859.2,1,2,2,3,7,At Risk
12441,2,11,173.55,0,4,1,1,6,New Customers
12443,368,21,485.31,1,1,2,2,5,Lost
12445,56,20,301.58000000000004,0,2,2,1,5,At Risk
12449,46,10,768.6,0,3,1,3,7,New Customers
12450,35,29,490.32,0,3,2,2,7,New Customers
12451,99,157,3634.36,1,2,4,4,10,At Risk
12454,31,25,13151.44,0,3,2,4,9,New Customers
12455,81,137,3413.09,0,2,4,4,10,At Risk
12457,71,22,632.68,0,2,2,2,6,At Risk
12458,63,46,830.09,0,2,3,3,8,At Risk
12459,241,23,454.36,1,1,2,2,5,Lost
12460,92,18,326.65,1,2,1,2,5,Lost
12466,318,1,56.73,1,1,1,1,3,Lost
12467,59,9,132.8,0,2,1,1,4,Lost
12468,162,112,2941.2,1,1,4,4,9,Can't Lose Them
12469,158,76,3070.54,1,1,3,4,8,Can't Lose Them
12470,325,23,211.95,1,1,2,1,4,Lost
12471,10,678,20139.739999999998,0,4,4,4,12,Champions
12472,5,572,11308.48,0,4,4,4,12,Champions
12474,14,286,5048.66,0,4,4,4,12,Champions
12475,45,25,426.26,0,3,2,2,7,New Customers
12476,32,283,7298.99,0,3,4,4,11,Loyal
12477,35,264,7056.63,0,3,4,4,11,Loyal
12480,35,88,2183.2200000000003,0,3,3,4,10,Loyal
12481,1,174,6765.07,0,4,4,4,12,Champions
12482,212,204,23691.4,1,1,4,4,9,Can't Lose Them
12483,14,64,2635.6,0,4,3,4,11,Loyal
12484,119,129,1828.43,1,2,4,4,10,At Risk
12485,165,34,708.1,1,1,2,3,6,Lost
12486,67,49,1037.28,0,2,3,3,8,At Risk
12487,366,2,285.29999999999995,1,1,1,1,3,Lost
12490,14,217,4405.71,0,4,4,4,12,Champions
12492,39,22,452.0,0,3,2,2,7,New Customers
12494,1,34,626.77,0,4,2,2,8,New Customers
12495,276,17,357.4,1,1,1,2,4,Lost
12496,256,13,54.09,1,1,1,1,3,Lost
12497,36,43,5205.400000000001,0,3,2,4,9,New Customers
12499,196,27,393.72,1,1,2,2,5,Lost
12500,71,85,1697.39,0,2,3,3,8,At Risk
12503,220,2,1126.0,1,1,1,3,5,Lost
12504,53,11,297.0,0,3,1,1,5,New Customers
12505,44,42,955.2,0,3,2,3,8,New Customers
12507,220,28,539.25,1,1,2,2,5,Lost
12510,95,112,4195.45,1,2,4,4,10,At Risk
12511,64,190,3084.02,0,2,4,4,10,At Risk
12514,277,33,580.08,1,1,2,2,5,Lost
12516,66,48,1336.56,0,2,3,3,8,At Risk
12519,112,22,385.7,1,2,2,2,6,At Risk
12523,10,144,2582.38,0,4,4,4,12,Champions
12524,24,96,6640.39,0,3,3,4,10,Loyal
12525,134,60,973.73,1,2,3,3,8,At Risk
12527,130,14,386.8,1,2,1,2,5,Lost
12529,164,21,316.48,1,1,2,2,5,Lost
12530,51,92,2096.98,0,3,3,4,10,Loyal
12531,322,110,1807.98,1,1,4,4,9,Can't Lose Them
12533,263,72,1367.89,1,1,3,3,7,Can't Lose Them
12537,44,43,732.94,0,3,2,3,8,New Customers
12538,14,13,276.5,0,4,1,1,6,New Customers
12539,86,231,5646.400000000001,0,2,4,4,10,At Risk
12540,14,293,8854.25,0,4,4,4,12,Champions
12542,120,39,481.88,1,2,2,2,6,At Risk
12543,84,43,980.25,0,2,2,3,7,At Risk
12547,136,13,175.78,1,2,1,1,4,Lost
12549,211,49,1575.68,1,1,3,3,7,Can't Lose Them
12553,21,47,916.47,0,3,3,3,9,Loyal
12554,84,26,468.5,0,2,2,2,6,At Risk
12555,318,1,129.23,1,1,1,1,3,Lost
12557,7,25,6725.18,0,4,2,4,10,New Customers
12562,21,39,1185.18,0,3,2,3,8,New Customers
12563,44,13,249.24,0,3,1,1,5,New Customers
12567,3,193,4308.58,0,4,4,4,12,Champions
12568,280,5,70.0,1,1,1,1,3,Lost
12570,318,1,77.52,1,1,1,1,3,Lost
12573,17,91,556.87,0,4,3,2,9,Loyal
12575,93,38,622.8199999999999,1,2,2,2,6,At Risk
12576,28,54,826.89,0,3,3,3,9,Loyal
12577,17,155,995.9499999999999,0,4,4,3,11,Champions
12578,21,58,1847.94,0,3,3,4,10,Loyal
12580,212,34,637.2,1,1,2,2,5,Lost
12582,58,81,1469.04,0,2,3,3,8,At Risk
12583,9,219,7166.0599999999995,0,4,4,4,12,Champions
12586,10,83,1865.73,0,4,3,4,11,Loyal
12588,35,36,743.88,0,3,2,3,8,New Customers
12589,57,145,4048.98,0,2,4,4,10,At Risk
12591,26,43,899.3,0,3,2,3,8,New Customers
12592,155,63,2145.06,1,1,3,4,8,Can't Lose Them
12594,14,81,1751.89,0,4,3,4,11,Loyal
12595,140,19,299.02,1,1,2,1,4,Lost
12598,99,74,1511.01,1,2,3,3,8,At Risk
12599,17,71,1264.14,0,4,3,3,10,Loyal
12600,7,68,2444.88,0,4,3,4,11,Loyal
12601,40,6,104.19999999999999,0,3,1,1,5,New Customers
12605,12,76,1232.95,0,4,3,3,10,Loyal
12606,318,1,21.0,1,1,1,1,3,Lost
12608,40,16,415.79,0,3,1,2,6,New Customers
12609,10,115,2309.01,0,4,4,4,12,Champions
12613,24,174,3490.69,0,3,4,4,11,Loyal
12615,49,165,3449.79,0,3,4,4,11,Loyal
12616,24,22,417.8,0,3,2,2,7,New Customers
12619,196,10,140.14,1,1,1,1,3,Lost
12621,1,303,11086.14,0,4,4,4,12,Champions
12623,52,156,3442.7400000000002,0,3,4,4,11,Loyal
12625,145,97,2481.06,1,1,3,4,8,Can't Lose Them
12629,21,45,1558.22,0,3,3,3,9,Loyal
12631,92,152,2841.07,1,2,4,4,10,At Risk
12632,156,35,804.88,1,1,2,3,6,Lost
12633,18,205,3514.18,0,4,4,4,12,Champions
12634,171,20,490.0,1,1,2,2,5,Lost
12635,28,78,1241.23,0,3,3,3,9,Loyal
12636,374,1,141.0,1,1,1,1,3,Lost
12637,14,245,2318.41,0,4,4,4,12,Champions
12638,275,9,249.8,1,1,1,1,3,Lost
12639,70,42,826.27,0,2,2,3,7,At Risk
12643,21,28,5005.78,0,3,2,4,9,New Customers
12644,66,80,1440.58,0,2,3,3,8,At Risk
12645,45,87,1764.12,0,3,3,4,10,Loyal
12647,3,434,14201.53,0,4,4,4,12,Champions
12648,73,44,793.95,0,2,2,3,7,At Risk
12649,18,87,1671.1399999999999,0,4,3,3,10,Loyal
12651,14,21,263.75,0,4,2,1,7,New Customers
12652,70,3,97.05000000000001,0,2,1,1,4,Lost
12653,162,43,1950.98,1,1,2,4,7,Lost
12655,59,16,261.35,0,2,1,1,4,Lost
12656,61,121,2356.66,0,2,4,4,10,At Risk
12661,72,11,162.0,0,2,1,1,4,Lost
12662,9,176,3138.2400000000002,0,4,4,4,12,Champions
12663,260,10,239.4,1,1,1,1,3,Lost
12664,150,8,1188.16,1,1,1,3,5,Lost
12665,53,14,250.6,0,3,1,1,5,New Customers
12666,30,31,1248.42,0,3,2,3,8,New Customers
12668,14,378,7637.53,0,4,4,4,12,Champions
12670,21,23,764.24,0,3,2,3,8,New Customers
12671,242,45,2622.481,1,1,3,4,8,Can't Lose Them
12672,231,12,211.15,1,1,1,1,3,Lost
12673,37,32,619.5,0,3,2,2,7,New Customers
12675,189,113,958.5,1,1,4,3,8,Can't Lose Them
12676,44,62,1511.7,0,3,3,3,9,Loyal
12677,191,21,395.1,1,1,2,2,5,Lost
12678,11,211,16652.72,0,4,4,4,12,Champions
12681,3,827,17080.74,0,4,4,4,12,Champions
12682,1,514,11745.69,0,4,4,4,12,Champions
12683,1,197,4220.21,0,4,4,4,12,Champions
12686,7,7,89.14,0,4,1,1,6,New Customers
12687,116,126,2138.91,1,2,4,4,10,At Risk
12691,56,7,134.6,0,2,1,1,4,Lost
12692,273,13,110.95,1,1,1,1,3,Lost
12693,32,40,847.11,0,3,2,3,8,New Customers
12694,57,46,973.68,0,2,3,3,8,At Risk
12695,164,32,825.02,1,1,2,3,6,Lost
12696,70,49,851.91,0,2,3,3,8,At Risk
12698,226,16,339.75,1,1,1,2,4,Lost
12699,53,41,638.11,0,3,2,2,7,New Customers
12701,165,94,1648.7,1,1,3,3,7,Can't Lose Them
12703,269,53,722.98,1,1,3,3,7,Can't Lose Them
12705,19,265,4893.81,0,3,4,4,11,Loyal
12708,4,153,2601.19,0,4,4,4,12,Champions
12709,2,292,21356.82,0,4,4,4,12,Champions
12711,247,60,1339.05,1,1,3,3,7,Can't Lose Them
12712,1,143,2797.53,0,4,4,4,12,Champions
12714,24,437,9384.85,0,3,4,4,11,Loyal
12717,226,16,277.93,1,1,1,1,3,Lost
12720,5,155,2478.94,0,4,4,4,12,Champions
12721,21,78,1356.95,0,3,3,3,9,Loyal
12724,19,76,1286.11,0,3,3,3,9,Loyal
12725,7,106,2266.76,0,4,4,4,12,Champions
12726,23,55,1405.5,0,3,3,3,9,Loyal
12727,78,64,1698.8300000000002,0,2,3,3,8,At Risk
12728,19,15,233.84,0,3,1,1,5,New Customers
12730,157,47,829.25,1,1,3,3,7,Can't Lose Them
12731,78,119,6879.8,0,2,4,4,10,At Risk
12733,25,135,2040.92,0,3,4,4,11,Loyal
12734,10,15,529.25,0,4,1,2,7,New Customers
12737,134,2,3710.5,1,2,1,4,7,Lost
12738,8,11,155.35,0,4,1,1,6,New Customers
12739,21,51,1713.69,0,3,3,3,9,Loyal
12741,165,16,406.07,1,1,1,2,4,Lost
12742,261,67,1201.52,1,1,3,3,7,Can't Lose Them
12744,95,117,4037.77,1,2,4,4,10,At Risk
12745,122,23,925.41,1,2,2,3,7,At Risk
12746,176,17,254.55,1,1,1,1,3,Lost
12747,5,154,5080.53,0,4,4,4,12,Champions
12748,1,2634,22879.66,0,4,4,4,12,Champions
12749,35,139,2806.48,0,3,4,4,11,Loyal
12751,80,62,268.27,0,2,3,1,6,At Risk
12755,1,60,5218.709999999999,0,4,3,4,11,Loyal
12758,95,216,7111.650000000001,1,2,4,4,10,At Risk
12759,22,207,3489.3,0,3,4,4,11,Loyal
12760,91,21,347.8,1,2,2,2,6,At Risk
12761,93,27,782.95,1,2,2,3,7,At Risk
12763,5,16,320.08,0,4,1,2,7,New Customers
12765,108,68,1404.58,1,2,3,3,8,At Risk
12766,2,145,3078.65,0,4,4,4,12,Champions
12767,11,43,949.82,0,4,2,3,9,New Customers
12768,86,10,168.69000000000003,0,2,1,1,4,Lost
12770,92,16,1895.0,1,2,1,4,7,Lost
12771,121,15,282.3,1,2,1,1,4,Lost
12773,200,6,124.25,1,1,1,1,3,Lost
12774,171,6,98.7,1,1,1,1,3,Lost
12775,24,15,300.08,0,3,1,1,5,New Customers
12776,303,4,55.5,1,1,1,1,3,Lost
12777,93,26,519.45,1,2,2,2,6,At Risk
12778,32,64,953.45,0,3,3,3,9,Loyal
12779,7,128,2740.91,0,4,4,4,12,Champions
12780,234,20,337.4,1,1,2,2,5,Lost
12782,10,124,2287.32,0,4,4,4,12,Champions
12784,165,72,1230.33,1,1,3,3,7,Can't Lose Them
12785,171,42,788.45,1,1,2,3,6,Lost
12786,245,18,728.5,1,1,1,3,5,Lost
12787,49,24,398.52,0,3,2,2,7,New Customers
12788,99,26,444.9,1,2,2,2,6,At Risk
12789,148,4,181.5,1,1,1,1,3,Lost
12790,46,16,266.93,0,3,1,1,5,New Customers
12791,9,28,863.51,0,4,2,3,9,New Customers
12792,170,22,426.47,1,1,2,2,5,Lost
12793,7,27,471.85,0,4,2,2,8,New Customers
12796,264,7,381.0,1,1,1,2,4,Lost
12797,1,30,552.08,0,4,2,2,8,New Customers
12798,57,25,1533.8899999999999,0,2,2,3,7,At Risk
12799,165,15,219.35,1,1,1,1,3,Lost
12800,106,34,584.25,1,2,2,2,6,At Risk
12801,136,50,1071.82,1,2,3,3,8,At Risk
12802,78,113,1988.84,0,2,4,4,10,At Risk
12803,29,55,1092.81,0,3,3,3,9,Loyal
12804,101,67,327.02,1,2,3,2,7,At Risk
12805,17,58,1434.95,0,4,3,3,10,Loyal
12806,71,67,2878.96,0,2,3,4,9,At Risk
12807,19,16,330.35,0,3,1,2,6,New Customers
12808,4,26,422.45,0,4,2,2,8,New Customers
12809,201,56,1266.63,1,1,3,3,7,Can't Lose Them
12810,170,32,534.99,1,1,2,2,5,Lost
12811,14,25,519.05,0,4,2,2,8,New Customers
12813,137,45,1687.8,1,1,3,3,7,Can't Lose Them
12817,35,21,524.94,0,3,2,2,7,New Customers
12819,94,19,540.52,1,2,2,2,6,At Risk
12820,33,101,1747.18,0,3,3,4,10,Loyal
12821,247,7,128.07999999999998,1,1,1,1,3,Lost
12823,30,13,4742.0,0,3,1,4,8,New Customers
12825,157,24,518.63,1,1,2,2,5,Lost
12826,1,75,1481.03,0,4,3,3,10,Loyal
12829,186,8,92.30000000000001,1,1,1,1,3,Lost
12831,99,13,236.06,1,2,1,1,4,Lost
12835,63,620,6043.31,0,2,4,4,10,At Risk
12836,25,239,3972.76,0,3,4,4,11,Loyal
12837,205,80,554.31,1,1,3,2,6,Can't Lose Them
12838,9,300,2715.35,0,4,4,4,12,Champions
12839,3,262,4480.31,0,4,4,4,12,Champions
12840,73,63,1315.2,0,2,3,3,8,At Risk
12841,5,282,3518.33,0,4,4,4,12,Champions
12842,40,14,799.0,0,3,1,3,7,New Customers
12843,18,118,4886.15,0,4,4,4,12,Champions
12844,78,51,322.64,0,2,3,2,7,At Risk
12846,318,1,15.58,1,1,1,1,3,Lost
12847,23,35,765.36,0,3,2,3,8,New Customers
12848,311,16,208.0,1,1,1,1,3,Lost
12849,17,97,2039.67,0,4,3,4,11,Loyal
12850,81,2,330.0,0,2,1,2,5,Lost
12851,113,30,148.95,1,2,2,1,5,At Risk
12853,63,70,1950.4,0,2,3,4,9,At Risk
12854,197,155,1669.52,1,1,4,3,8,Can't Lose Them
12855,8,67,612.84,0,4,3,2,9,Loyal
12857,72,75,2581.6,0,2,3,4,9,At Risk
12858,19,49,177.92,0,3,3,1,7,Loyal
12859,94,21,575.1,1,2,2,2,6,At Risk
12860,329,17,55.47,1,1,1,1,3,Lost
12861,255,4,68.25,1,1,1,1,3,Lost
12862,61,133,1008.3199999999999,0,2,4,3,9,At Risk
12863,15,43,2271.35,0,4,2,4,10,New Customers
12864,144,4,152.45,1,1,1,1,3,Lost
12865,14,100,1755.24,0,4,3,4,11,Loyal
12866,110,37,668.23,1,2,2,2,6,At Risk
12867,33,525,3876.47,0,3,4,4,11,Loyal
12868,9,39,640.0,0,4,2,2,8,New Customers
12869,317,37,337.66999999999996,1,1,2,2,5,Lost
12870,11,93,1676.95,0,4,3,3,10,Loyal
12871,75,7,363.38,0,2,1,2,5,Lost
12872,1,370,3085.52,0,4,4,4,12,Champions
12873,33,31,1653.3,0,3,2,3,8,New Customers
12874,21,48,948.42,0,3,3,3,9,Loyal
12875,107,6,1013.76,1,2,1,3,6,Lost
12876,30,85,1863.77,0,3,3,4,10,Loyal
12877,37,123,1419.4,0,3,4,3,10,Loyal
12880,17,36,640.13,0,4,2,2,8,New Customers
12887,19,13,222.4,0,3,1,1,5,New Customers
12889,17,25,385.46000000000004,0,4,2,2,8,New Customers
12890,23,57,336.8,0,3,3,2,8,Loyal
12891,94,8,509.5,1,2,1,2,5,Lost
12892,32,18,263.38,0,3,1,1,5,New Customers
12894,211,21,157.35,1,1,2,1,4,Lost
12897,17,10,297.75,0,4,1,1,6,New Customers
12898,99,32,310.96000000000004,1,2,2,2,6,At Risk
12899,49,17,366.4,0,3,1,2,6,New Customers
12900,58,13,340.33,0,2,1,2,5,Lost
12903,64,41,833.53,0,2,2,3,7,At Risk
12905,212,54,1018.42,1,1,3,3,7,Can't Lose Them
12907,31,25,508.91,0,3,2,2,7,New Customers
12908,16,3,1026.0,0,4,1,3,8,New Customers
12909,60,67,924.52,0,2,3,3,8,At Risk
12910,15,62,2721.48,0,4,3,4,11,Loyal
12911,187,248,1680.47,1,1,4,3,8,Can't Lose Them
12913,4,46,4217.2300000000005,0,4,3,4,11,Loyal
12914,36,9,223.98,0,3,1,1,5,New Customers
12915,8,51,811.1,0,4,3,3,10,Loyal
12916,78,77,1647.87,0,2,3,3,8,At Risk
12917,36,48,3765.2,0,3,3,4,10,Loyal
12918,262,1,10953.5,1,1,1,4,6,Lost
12920,207,32,323.86,1,1,2,2,5,Lost
12921,2,814,19333.95,0,4,4,4,12,Champions
12923,26,33,612.9,0,3,2,2,7,New Customers
12924,29,44,1535.7,0,3,2,3,8,New Customers
12925,228,5,35.28,1,1,1,1,3,Lost
12926,47,274,1548.46,0,3,4,3,10,Loyal
12927,30,11,197.31,0,3,1,1,5,New Customers
12928,14,95,2242.19,0,4,3,4,11,Loyal
12931,16,136,50291.38,0,4,4,4,12,Champions
12932,175,95,1698.56,1,1,3,3,7,Can't Lose Them
12933,16,190,1079.5,0,4,4,3,11,Champions
12934,372,2,181.65,1,1,1,1,3,Lost
12935,11,125,2083.16,0,4,4,4,12,Champions
12937,99,97,1593.34,1,2,3,3,8,At Risk
12939,15,39,13683.0,0,4,2,4,10,New Customers
12941,360,27,377.49,1,1,2,2,5,Lost
12942,1,16,258.75,0,4,1,1,6,New Customers
12943,194,25,496.5,1,1,2,2,5,Lost
12945,292,28,437.16,1,1,2,2,5,Lost
12946,72,20,324.45,0,2,2,2,6,At Risk
12947,9,17,304.04,0,4,1,1,6,New Customers
12948,366,9,252.48000000000002,1,1,1,1,3,Lost
12949,18,500,11359.48,0,4,4,4,12,Champions
12951,22,131,2149.65,0,3,4,4,11,Loyal
12953,158,31,498.96000000000004,1,1,2,2,5,Lost
12954,274,10,162.45,1,1,1,1,3,Lost
12956,320,23,413.82,1,1,2,2,5,Lost
12957,177,252,4689.43,1,1,4,4,9,Can't Lose Them
12958,36,57,539.49,0,3,3,2,8,Loyal
12959,120,8,150.95,1,2,1,1,4,Lost
12960,49,70,1322.07,0,3,3,3,9,Loyal
12961,15,40,211.99,0,4,2,1,7,New Customers
12963,1,95,1744.96,0,4,3,4,11,Loyal
12964,73,26,132.24,0,2,2,1,5,At Risk
12967,7,61,2646.02,0,4,3,4,11,Loyal
12969,238,5,122.45,1,1,1,1,3,Lost
12970,16,232,1072.73,0,4,4,3,11,Champions
12971,2,120,4782.88,0,4,4,4,12,Champions
12972,49,77,1161.2,0,3,3,3,9,Loyal
12973,49,6,385.55,0,3,1,2,6,New Customers
12974,201,24,264.15,1,1,2,1,4,Lost
12975,72,112,2100.09,0,2,4,4,10,At Risk
12976,14,132,2417.7799999999997,0,4,4,4,12,Champions
12977,137,50,478.39,1,1,3,2,6,Can't Lose Them
12978,21,163,2502.82,0,3,4,4,11,Loyal
12979,365,56,517.7,1,1,3,2,6,Can't Lose Them
12980,22,32,8870.880000000001,0,3,2,4,9,New Customers
12982,30,150,2354.27,0,3,4,4,11,Loyal
12983,234,30,490.08000000000004,1,1,2,2,5,Lost
12986,64,102,2729.84,0,2,3,4,9,At Risk
12987,56,38,753.51,0,2,2,3,7,At Risk
12989,60,33,6627.64,0,2,2,4,8,At Risk
12990,53,14,546.0,0,3,1,2,6,New Customers
12991,25,14,261.06,0,3,1,1,5,New Customers
12992,361,6,93.35000000000001,1,1,1,1,3,Lost
12993,81,49,844.87,0,2,3,3,8,At Risk
12996,11,22,355.5,0,4,2,2,8,New Customers
12997,30,48,884.02,0,3,3,3,9,Loyal
12998,128,58,920.08,1,2,3,3,8,At Risk
13000,361,31,497.65000000000003,1,1,2,2,5,Lost
13001,40,687,14353.28,0,3,4,4,11,Loyal
13002,52,16,293.18,0,3,1,1,5,New Customers
13004,22,411,5994.94,0,3,4,4,11,Loyal
13005,67,30,485.98,0,2,2,2,6,At Risk
13007,215,11,175.25,1,1,1,1,3,Lost
13008,33,21,382.66,0,3,2,2,7,New Customers
13009,308,4,234.0,1,1,1,1,3,Lost
13010,10,12,330.12,0,4,1,2,7,New Customers
13011,8,3,50.550000000000004,0,4,1,1,6,New Customers
13012,65,65,1310.99,0,2,3,3,8,At Risk
13013,7,335,7814.83,0,4,4,4,12,Champions
13014,68,115,1914.8,0,2,4,4,10,At Risk
13015,74,173,3240.14,0,2,4,4,10,At Risk
13018,49,145,2485.46,0,3,4,4,11,Loyal
13019,15,55,1229.95,0,4,3,3,10,Loyal
13020,198,39,618.96,1,1,2,2,5,Lost
13021,10,126,2270.86,0,4,4,4,12,Champions
13022,65,5,65.3,0,2,1,1,4,Lost
13023,164,36,759.13,1,1,2,3,6,Lost
13024,106,31,555.87,1,2,2,2,6,At Risk
13025,367,13,323.39,1,1,1,2,4,Lost
13026,124,42,757.72,1,2,2,3,7,At Risk
13027,21,60,10423.2,0,3,3,4,10,Loyal
13029,10,7,679.8,0,4,1,2,7,New Customers
13030,4,60,427.74,0,4,3,2,9,Loyal
13031,43,435,3419.27,0,3,4,4,11,Loyal
13032,28,141,1833.37,0,3,4,4,11,Loyal
13033,65,2,30.0,0,2,1,1,4,Lost
13034,5,18,279.91,0,4,1,1,6,New Customers
13035,67,15,442.32,0,2,1,2,5,Lost
13036,320,6,307.1,1,1,1,1,3,Lost
13037,35,184,3033.88,0,3,4,4,11,Loyal
13039,220,55,1010.73,1,1,3,3,7,Can't Lose Them
13041,86,35,799.13,0,2,2,3,7,At Risk
13042,234,199,1556.54,1,1,4,3,8,Can't Lose Them
13044,128,386,4293.43,1,2,4,4,10,At Risk
13045,37,27,503.64,0,3,2,2,7,New Customers
13046,92,21,319.94,1,2,2,2,6,At Risk
13047,9,226,5557.62,0,4,4,4,12,Champions
13048,72,132,2248.3,0,2,4,4,10,At Risk
13049,25,12,751.5600000000001,0,3,1,3,7,New Customers
13050,2,606,6507.67,0,4,4,4,12,Champions
13051,214,4,155.8,1,1,1,1,3,Lost
13052,56,235,2820.38,0,2,4,4,10,At Risk
13053,257,17,127.65,1,1,1,1,3,Lost
13055,65,78,1106.7,0,2,3,3,8,At Risk
13056,187,19,209.48,1,1,2,1,4,Lost
13057,166,41,722.09,1,1,2,3,6,Lost
13059,49,194,2119.77,0,3,4,4,11,Loyal
13063,116,12,188.4,1,2,1,1,4,Lost
13064,186,25,561.25,1,1,2,2,5,Lost
13065,9,62,1055.05,0,4,3,3,10,Loyal
13067,45,17,393.05,0,3,1,2,6,New Customers
13069,5,691,5247.01,0,4,4,4,12,Champions
13070,95,24,522.9,1,2,2,2,6,At Risk
13071,248,12,129.22,1,1,1,1,3,Lost
13073,47,27,418.08,0,3,2,2,7,New Customers
13074,147,29,1378.74,1,1,2,3,6,Lost
13076,93,9,135.4,1,2,1,1,4,Lost
13077,2,235,2335.4,0,4,4,4,12,Champions
13078,2,443,16904.510000000002,0,4,4,4,12,Champions
13079,53,11,199.08,0,3,1,1,5,New Customers
13080,37,13,222.65,0,3,1,1,5,New Customers
13081,7,1330,30867.77,0,4,4,4,12,Champions
13082,60,56,3722.12,0,2,3,4,9,At Risk
13083,61,4,91.67999999999999,0,2,1,1,4,Lost
13084,127,2,122.39999999999999,1,2,1,1,4,Lost
13085,315,62,2017.2,1,1,3,4,8,Can't Lose Them
13086,18,47,439.33000000000004,0,4,3,2,9,Loyal
13087,362,15,313.64,1,1,1,2,4,Lost
13088,53,20,236.11,0,3,2,1,6,New Customers
13089,4,1545,57912.03,0,4,4,4,12,Champions
13090,1,128,5192.27,0,4,4,4,12,Champions
13091,365,24,1976.0,1,1,2,4,7,Lost
13092,50,80,1662.45,0,3,3,3,9,Loyal
13093,9,891,47111.18,0,4,4,4,12,Champions
13094,4,8,505.8,0,4,1,2,7,New Customers
13096,30,1,419.70000000000005,0,3,1,2,6,New Customers
13097,24,594,7378.8,0,3,4,4,11,Loyal
13101,134,43,594.21,1,2,2,2,6,At Risk
13102,1,188,5272.83,0,4,4,4,12,Champions
13103,73,25,465.70000000000005,0,2,2,2,6,At Risk
13104,51,10,610.62,0,3,1,2,6,New Customers
13105,72,1,72.0,0,2,1,1,4,Lost
13106,49,15,526.96,0,3,1,2,6,New Customers
